epoch,IoU,accuracy,loss,lr,val_IoU,val_accuracy,val_loss
0,0.9469510912895203,0.9547159075737,0.10869630426168442,0.001,0.9727784991264343,0.9621321558952332,0.07705893367528915
1,0.9767581820487976,0.9678487181663513,0.05989352986216545,0.001,0.9825609922409058,0.9662102460861206,0.07062861323356628
2,0.9820173978805542,0.9722254872322083,0.04832617565989494,0.001,0.9824536442756653,0.967846155166626,0.06056492030620575
3,0.9846131205558777,0.9746459126472473,0.041890230029821396,0.001,0.9851639866828918,0.9764530062675476,0.03680972382426262
4,0.9886305332183838,0.9786610007286072,0.030966080725193024,0.001,0.9892528653144836,0.9787377119064331,0.02838469110429287
5,0.9904748201370239,0.9801585078239441,0.026049498468637466,0.001,0.9906373620033264,0.9760321974754333,0.042719461023807526
6,0.9914886355400085,0.9809830784797668,0.023604121059179306,0.001,0.991369366645813,0.979908287525177,0.024109097197651863
7,0.9920847415924072,0.9815885424613953,0.022106146439909935,0.001,0.9838143587112427,0.9638503193855286,0.06306678801774979
8,0.9933196306228638,0.9828214645385742,0.018280869349837303,0.001,0.9940604567527771,0.9814552068710327,0.025110704824328423
9,0.9942057728767395,0.9836097955703735,0.016261059790849686,0.001,0.9935405850410461,0.981587827205658,0.019656909629702568
10,0.9940740466117859,0.983363687992096,0.016770875081419945,0.001,0.9918649792671204,0.9777952432632446,0.035508736968040466
11,0.9949558973312378,0.9841939806938171,0.014081970788538456,0.001,0.9929452538490295,0.9795998930931091,0.03069562278687954
12,0.9949443936347961,0.9842290878295898,0.014127286151051521,0.001,0.9943157434463501,0.9817842245101929,0.024349523708224297
13,0.9953728914260864,0.9845541715621948,0.01289496198296547,0.001,0.9939492344856262,0.9812442660331726,0.02144370973110199
14,0.9951079487800598,0.9841800332069397,0.013845094479620457,0.001,0.9935176968574524,0.9814490675926208,0.021401407197117805
15,0.9954200387001038,0.9846153855323792,0.012738867662847042,0.001,0.9950898289680481,0.9831498265266418,0.01709267869591713
16,0.9957690238952637,0.9848443865776062,0.011978168040513992,0.001,0.9931989908218384,0.9798979163169861,0.030775003135204315
17,0.9955092668533325,0.9846144914627075,0.012591930106282234,0.001,0.9938960075378418,0.9819962382316589,0.018248941749334335
18,0.9964581727981567,0.9855726957321167,0.009633585810661316,0.001,0.9954747557640076,0.9829968810081482,0.01738600619137287
19,0.99563068151474,0.984735906124115,0.012229088693857193,0.001,0.9951658248901367,0.9825958013534546,0.01956097036600113
20,0.9966452121734619,0.9856881499290466,0.009172821417450905,0.001,0.9956775307655334,0.9832178354263306,0.01791496016085148
21,0.996864378452301,0.9858576059341431,0.008508996106684208,0.001,0.9958513975143433,0.9837093353271484,0.01457586046308279
22,0.9961557388305664,0.9851555824279785,0.010701552033424377,0.001,0.9942011833190918,0.9806410670280457,0.03101799637079239
23,0.9960730671882629,0.9851263761520386,0.010923163965344429,0.001,0.9955018758773804,0.9830042123794556,0.018543539568781853
24,0.9968466758728027,0.985813319683075,0.008608611300587654,0.001,0.9957236647605896,0.9834124445915222,0.014911884441971779
25,0.996806800365448,0.9857752919197083,0.008728383108973503,0.001,0.9955456852912903,0.9826575517654419,0.021890414878726006
26,0.9970001578330994,0.9859554171562195,0.00811400543898344,0.001,0.9960824251174927,0.9834867715835571,0.018738601356744766
27,0.9967648386955261,0.9857044219970703,0.008828775025904179,0.001,0.9960793852806091,0.9833691716194153,0.019070209935307503
28,0.9970271587371826,0.9859545230865479,0.008045701310038567,0.001,0.9954954385757446,0.9826410412788391,0.022844558581709862
29,0.99664306640625,0.9855602383613586,0.009346529841423035,0.001,0.9945733547210693,0.9809923768043518,0.03354979306459427
